Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2019-01-01 00:00:00,268.95,337.20,105.19,53.49,113.95,59.23,12.12,3.38,11.62,1.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-02 00:00:00,323.18,406.85,136.83,62.51,142.93,75.65,11.27,3.77,8.49,1.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-03 00:00:00,349.44,436.95,66.71,47.05,79.13,39.41,9.35,3.33,11.28,2.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-04 00:00:00,232.80,324.11,61.12,36.21,68.87,36.04,6.88,2.31,7.80,1.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-05 00:00:00,248.27,342.99,96.10,44.46,99.64,54.63,7.67,2.51,7.22,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-06 00:00:00,178.21,220.50,33.19,36.45,45.87,22.41,5.08,1.43,9.03,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-07 00:00:00,188.45,243.73,50.79,37.82,61.39,32.55,7.77,1.61,9.87,1.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-08 00:00:00,153.04,199.01,22.38,32.37,35.39,16.98,6.66,1.10,11.87,1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-09 00:00:00,133.10,183.72,19.12,32.21,28.76,15.12,7.35,1.07,13.57,0.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-10 00:00:00,192.69,267.41,79.93,48.54,84.38,45.17,6.64,2.66,7.51,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-11 00:00:00,304.29,402.36,218.60,76.42,218.37,118.61,NA,4.53,8.47,1.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-12 00:00:00,272.00,366.31,204.19,76.80,205.43,112.93,NA,4.40,8.24,1.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-13 00:00:00,NA,NA,72.75,51.96,86.49,47.62,NA,2.34,12.29,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
